溫度2，執行#1
時間 ( 秒 )	溫度2 ( °C )
0.0000	22.72
0.5000	22.72
1.0000	22.73
1.5000	22.72
2.0000	22.73
2.5000	22.72
3.0000	22.72
3.5000	22.74
4.0000	22.75
4.5000	22.76
5.0000	22.77
5.5000	22.79
6.0000	22.82
6.5000	22.84
7.0000	22.88
7.5000	22.92
8.0000	22.97
8.5000	23.02
9.0000	23.08
9.5000	23.14
10.0000	23.19
10.5000	23.25
11.0000	23.32
11.5000	23.39
12.0000	23.47
12.5000	23.53
13.0000	23.63
13.5000	23.73
14.0000	23.83
14.5000	23.93
15.0000	24.04
15.5000	24.14
16.0000	24.25
16.5000	24.35
17.0000	24.46
17.5000	24.56
18.0000	24.67
18.5000	24.76
19.0000	24.85
19.5000	24.93
20.0000	25.01
20.5000	25.08
21.0000	25.14
21.5000	25.20
22.0000	25.25
22.5000	25.28
23.0000	25.32
23.5000	25.36
24.0000	25.37
24.5000	25.40
25.0000	25.40
25.5000	25.41
26.0000	25.40
26.5000	25.39
27.0000	25.38
27.5000	25.35
28.0000	25.33
28.5000	25.30
29.0000	25.26
29.5000	25.22
30.0000	25.17
30.5000	25.12
31.0000	25.07
31.5000	25.03
32.0000	24.98
32.5000	24.93
33.0000	24.88
33.5000	24.83
34.0000	24.79
34.5000	24.75
35.0000	24.71
35.5000	24.68
36.0000	24.65
36.5000	24.63
37.0000	24.62
37.5000	24.61
38.0000	24.60
38.5000	24.60
39.0000	24.61
39.5000	24.62
40.0000	24.63
40.5000	24.66
41.0000	24.68
41.5000	24.72
42.0000	24.76
42.5000	24.80
43.0000	24.85
43.5000	24.90
44.0000	24.96
44.5000	25.02
45.0000	25.09
45.5000	25.16
46.0000	25.23
46.5000	25.31
47.0000	25.39
47.5000	25.46
48.0000	25.53
48.5000	25.60
49.0000	25.66
49.5000	25.73
50.0000	25.78
50.5000	25.83
51.0000	25.87
51.5000	25.91
52.0000	25.94
52.5000	25.97
53.0000	25.98
53.5000	26.00
54.0000	26.00
54.5000	26.01
55.0000	26.00
55.5000	25.99
56.0000	25.97
56.5000	25.95
57.0000	25.93
57.5000	25.89
58.0000	25.86
58.5000	25.82
59.0000	25.76
59.5000	25.72
60.0000	25.66
60.5000	25.61
61.0000	25.55
61.5000	25.50
62.0000	25.45
62.5000	25.38
63.0000	25.33
63.5000	25.27
64.0000	25.22
64.5000	25.18
65.0000	25.13
65.5000	25.10
66.0000	25.07
66.5000	25.05
67.0000	25.02
67.5000	25.01
68.0000	24.99
68.5000	24.99
69.0000	24.99
69.5000	25.00
70.0000	25.01
70.5000	25.03
71.0000	25.06
71.5000	25.09
72.0000	25.12
72.5000	25.16
73.0000	25.21
73.5000	25.26
74.0000	25.31
74.5000	25.37
75.0000	25.43
75.5000	25.50
76.0000	25.57
76.5000	25.64
77.0000	25.71
77.5000	25.78
78.0000	25.85
78.5000	25.92
79.0000	25.97
79.5000	26.04
80.0000	26.09
80.5000	26.14
81.0000	26.17
81.5000	26.21
82.0000	26.23
82.5000	26.27
83.0000	26.28
83.5000	26.30
84.0000	26.30
84.5000	26.30
85.0000	26.30
85.5000	26.29
86.0000	26.27
86.5000	26.25
87.0000	26.22
87.5000	26.18
88.0000	26.15
88.5000	26.10
89.0000	26.05
89.5000	26.00
90.0000	25.95
90.5000	25.89
91.0000	25.83
91.5000	25.78
92.0000	25.72
92.5000	25.66
93.0000	25.60
93.5000	25.55
94.0000	25.49
94.5000	25.45
95.0000	25.40
95.5000	25.36
96.0000	25.33
96.5000	25.30
97.0000	25.28
97.5000	25.26
98.0000	25.25
98.5000	25.24
99.0000	25.24
99.5000	25.25
100.0000	25.26
100.5000	25.28
101.0000	25.30
101.5000	25.33
102.0000	25.36
102.5000	25.40
103.0000	25.44
103.5000	25.49
104.0000	25.55
104.5000	25.60
105.0000	25.67
105.5000	25.74
106.0000	25.81
106.5000	25.88
107.0000	25.95
107.5000	26.01
108.0000	26.09
108.5000	26.15
109.0000	26.21
109.5000	26.27
110.0000	26.32
110.5000	26.36
111.0000	26.40
111.5000	26.44
112.0000	26.47
112.5000	26.49
113.0000	26.51
113.5000	26.52
114.0000	26.53
114.5000	26.53
115.0000	26.52
115.5000	26.51
116.0000	26.49
116.5000	26.47
117.0000	26.44
117.5000	26.40
118.0000	26.36
118.5000	26.32
119.0000	26.27
119.5000	26.22
120.0000	26.16
120.5000	26.11
121.0000	26.05
121.5000	25.99
122.0000	25.93
122.5000	25.88
123.0000	25.82
123.5000	25.77
124.0000	25.71
124.5000	25.66
125.0000	25.62
125.5000	25.58
126.0000	25.54
126.5000	25.53
127.0000	25.50
127.5000	25.48
128.0000	25.47
128.5000	25.46
129.0000	25.46
129.5000	25.46
130.0000	25.48
130.5000	25.49
131.0000	25.51
131.5000	25.54
132.0000	25.57
132.5000	25.62
133.0000	25.65
133.5000	25.70
134.0000	25.76
134.5000	25.82
135.0000	25.88
135.5000	25.94
136.0000	26.00
136.5000	26.07
137.0000	26.15
137.5000	26.22
138.0000	26.29
138.5000	26.35
139.0000	26.41
139.5000	26.47
140.0000	26.51
140.5000	26.56
141.0000	26.60
141.5000	26.63
142.0000	26.66
142.5000	26.68
143.0000	26.70
143.5000	26.71
144.0000	26.71
144.5000	26.71
145.0000	26.70
145.5000	26.70
146.0000	26.67
146.5000	26.65
147.0000	26.61
147.5000	26.59
148.0000	26.54
148.5000	26.50
149.0000	26.46
149.5000	26.40
150.0000	26.35
150.5000	26.29
151.0000	26.23
151.5000	26.18
152.0000	26.11
152.5000	26.06
153.0000	26.00
153.5000	25.94
154.0000	25.89
154.5000	25.85
155.0000	25.81
155.5000	25.76
156.0000	25.73
156.5000	25.70
157.0000	25.67
