溫度1，執行#1
時間 ( 秒 )	溫度1 ( °C )
0.0000	23.33
0.5000	23.32
1.0000	23.32
1.5000	23.31
2.0000	23.31
2.5000	23.31
3.0000	23.31
3.5000	23.31
4.0000	23.30
4.5000	23.29
5.0000	23.29
5.5000	23.28
6.0000	23.27
6.5000	23.26
7.0000	23.26
7.5000	23.25
8.0000	23.25
8.5000	23.24
9.0000	23.24
9.5000	23.23
10.0000	23.23
10.5000	23.23
11.0000	23.23
11.5000	23.21
12.0000	23.21
12.5000	23.23
13.0000	23.24
13.5000	23.25
14.0000	23.26
14.5000	23.27
15.0000	23.29
15.5000	23.32
16.0000	23.33
16.5000	23.35
17.0000	23.37
17.5000	23.40
18.0000	23.43
18.5000	23.46
19.0000	23.50
19.5000	23.54
20.0000	23.57
20.5000	23.61
21.0000	23.64
21.5000	23.68
22.0000	23.71
22.5000	23.74
23.0000	23.77
23.5000	23.80
24.0000	23.84
24.5000	23.87
25.0000	23.91
25.5000	23.95
26.0000	23.99
26.5000	24.02
27.0000	24.06
27.5000	24.10
28.0000	24.14
28.5000	24.17
29.0000	24.20
29.5000	24.24
30.0000	24.28
30.5000	24.32
31.0000	24.35
31.5000	24.39
32.0000	24.43
32.5000	24.46
33.0000	24.49
33.5000	24.52
34.0000	24.55
34.5000	24.59
35.0000	24.61
35.5000	24.64
36.0000	24.66
36.5000	24.68
37.0000	24.71
37.5000	24.73
38.0000	24.75
38.5000	24.78
39.0000	24.80
39.5000	24.83
40.0000	24.85
40.5000	24.89
41.0000	24.92
41.5000	24.94
42.0000	24.96
42.5000	24.99
43.0000	25.02
43.5000	25.04
44.0000	25.06
44.5000	25.08
45.0000	25.10
45.5000	25.12
46.0000	25.15
46.5000	25.17
47.0000	25.19
47.5000	25.21
48.0000	25.23
48.5000	25.25
49.0000	25.28
49.5000	25.30
50.0000	25.32
50.5000	25.34
51.0000	25.37
51.5000	25.39
52.0000	25.39
52.5000	25.40
53.0000	25.41
53.5000	25.43
54.0000	25.45
54.5000	25.47
55.0000	25.48
55.5000	25.49
56.0000	25.52
56.5000	25.54
57.0000	25.56
57.5000	25.58
58.0000	25.60
58.5000	25.60
59.0000	25.61
59.5000	25.63
60.0000	25.64
60.5000	25.65
61.0000	25.66
61.5000	25.68
62.0000	25.69
62.5000	25.71
63.0000	25.73
63.5000	25.73
64.0000	25.74
64.5000	25.75
65.0000	25.76
65.5000	25.78
66.0000	25.79
66.5000	25.80
67.0000	25.82
67.5000	25.84
68.0000	25.85
68.5000	25.87
69.0000	25.87
69.5000	25.88
70.0000	25.89
70.5000	25.90
71.0000	25.90
71.5000	25.88
72.0000	25.89
72.5000	25.90
73.0000	25.90
73.5000	25.90
74.0000	25.88
74.5000	25.89
75.0000	25.91
75.5000	25.92
76.0000	25.92
76.5000	25.92
77.0000	25.92
77.5000	25.92
78.0000	25.92
78.5000	25.92
79.0000	25.93
79.5000	25.93
80.0000	25.93
80.5000	25.94
81.0000	25.94
81.5000	25.95
82.0000	25.96
82.5000	25.97
83.0000	25.99
83.5000	26.00
84.0000	26.01
84.5000	26.01
85.0000	26.01
85.5000	26.00
86.0000	25.99
86.5000	26.00
87.0000	26.00
87.5000	25.98
88.0000	25.97
88.5000	25.98
89.0000	25.97
89.5000	25.97
90.0000	25.98
90.5000	25.98
91.0000	25.98
91.5000	25.98
92.0000	25.98
92.5000	25.97
93.0000	25.99
93.5000	25.99
94.0000	26.00
94.5000	26.01
95.0000	26.01
95.5000	26.02
96.0000	26.02
96.5000	26.03
97.0000	26.03
97.5000	26.03
98.0000	26.03
98.5000	26.03
99.0000	26.04
99.5000	26.04
100.0000	26.05
100.5000	26.06
101.0000	26.07
101.5000	26.08
102.0000	26.09
102.5000	26.10
103.0000	26.10
103.5000	26.11
104.0000	26.11
104.5000	26.11
105.0000	26.11
105.5000	26.10
106.0000	26.10
106.5000	26.08
107.0000	26.07
107.5000	26.07
108.0000	26.05
108.5000	26.05
109.0000	26.04
109.5000	26.03
110.0000	26.02
110.5000	26.03
111.0000	26.03
111.5000	26.04
112.0000	26.04
112.5000	26.05
113.0000	26.06
113.5000	26.06
114.0000	26.07
114.5000	26.07
115.0000	26.06
115.5000	26.05
116.0000	26.05
116.5000	26.05
117.0000	26.04
117.5000	26.05
118.0000	26.06
118.5000	26.06
119.0000	26.07
119.5000	26.08
120.0000	26.07
120.5000	26.08
121.0000	26.07
121.5000	26.08
122.0000	26.09
122.5000	26.09
123.0000	26.10
123.5000	26.11
124.0000	26.11
124.5000	26.12
125.0000	26.12
125.5000	26.11
126.0000	26.12
126.5000	26.13
127.0000	26.14
127.5000	26.14
128.0000	26.14
128.5000	26.13
129.0000	26.11
129.5000	26.12
130.0000	26.11
130.5000	26.11
131.0000	26.09
131.5000	26.07
132.0000	26.03
132.5000	26.01
133.0000	26.02
133.5000	26.03
134.0000	26.05
134.5000	26.07
135.0000	26.08
135.5000	26.11
136.0000	26.13
136.5000	26.16
137.0000	26.16
137.5000	26.14
138.0000	26.11
138.5000	26.11
139.0000	26.10
139.5000	26.11
140.0000	26.12
140.5000	26.13
141.0000	26.13
141.5000	26.15
142.0000	26.16
142.5000	26.17
143.0000	26.18
143.5000	26.19
144.0000	26.19
144.5000	26.20
145.0000	26.20
145.5000	26.20
146.0000	26.19
146.5000	26.20
147.0000	26.19
147.5000	26.20
148.0000	26.21
148.5000	26.21
149.0000	26.22
149.5000	26.24
150.0000	26.26
150.5000	26.27
151.0000	26.28
151.5000	26.29
152.0000	26.30
152.5000	26.30
153.0000	26.29
153.5000	26.31
154.0000	26.31
154.5000	26.32
155.0000	26.31
155.5000	26.31
156.0000	26.33
156.5000	26.34
157.0000	26.35
157.5000	26.35
158.0000	26.36
158.5000	26.37
159.0000	26.39
159.5000	26.39
160.0000	26.40
160.5000	26.40
161.0000	26.40
161.5000	26.39
162.0000	26.40
162.5000	26.39
163.0000	26.38
163.5000	26.38
164.0000	26.37
164.5000	26.37
165.0000	26.35
165.5000	26.34
166.0000	26.33
166.5000	26.32
167.0000	26.31
167.5000	26.30
168.0000	26.27
168.5000	26.25
169.0000	26.23
169.5000	26.20
170.0000	26.19
170.5000	26.16
171.0000	26.12
171.5000	26.08
172.0000	26.04
172.5000	26.01
173.0000	25.98
173.5000	25.96
174.0000	25.93
174.5000	25.89
175.0000	25.87
175.5000	25.84
176.0000	25.81
176.5000	25.78
177.0000	25.76
177.5000	25.73
178.0000	25.69
178.5000	25.66
179.0000	25.63
179.5000	25.60
180.0000	25.58
180.5000	25.55
181.0000	25.54
181.5000	25.52
182.0000	25.50
182.5000	25.47
183.0000	25.45
183.5000	25.41
184.0000	25.39
184.5000	25.37
185.0000	25.33
185.5000	25.30
186.0000	25.27
186.5000	25.25
187.0000	25.23
187.5000	25.20
188.0000	25.18
188.5000	25.15
189.0000	25.13
189.5000	25.11
190.0000	25.09
190.5000	25.07
191.0000	25.05
191.5000	25.03
192.0000	25.00
192.5000	24.97
193.0000	24.96
193.5000	24.95
194.0000	24.93
194.5000	24.92
195.0000	24.90
195.5000	24.90
196.0000	24.88
196.5000	24.87
197.0000	24.85
197.5000	24.84
198.0000	24.83
198.5000	24.81
199.0000	24.80
199.5000	24.79
200.0000	24.78
200.5000	24.77
201.0000	24.76
201.5000	24.74
202.0000	24.73
202.5000	24.72
203.0000	24.70
203.5000	24.69
204.0000	24.68
204.5000	24.67
205.0000	24.67
205.5000	24.66
206.0000	24.65
206.5000	24.63
207.0000	24.62
207.5000	24.61
208.0000	24.60
208.5000	24.60
209.0000	24.59
209.5000	24.58
210.0000	24.57
210.5000	24.55
211.0000	24.55
211.5000	24.54
212.0000	24.53
212.5000	24.53
213.0000	24.52
213.5000	24.51
214.0000	24.51
214.5000	24.49
215.0000	24.50
215.5000	24.48
216.0000	24.48
216.5000	24.47
217.0000	24.45
217.5000	24.44
218.0000	24.42
218.5000	24.41
219.0000	24.40
219.5000	24.39
220.0000	24.39
220.5000	24.38
221.0000	24.38
221.5000	24.38
222.0000	24.38
222.5000	24.36
223.0000	24.35
223.5000	24.35
224.0000	24.35
224.5000	24.35
225.0000	24.34
225.5000	24.35
226.0000	24.35
226.5000	24.34
227.0000	24.33
227.5000	24.33
228.0000	24.32
228.5000	24.32
229.0000	24.32
229.5000	24.32
